                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0368,                 7.2131,                 3.8241,                0.65043,                0.07722,                0.07599,                0.03718,                 2.4349,                 3.9744,                 3.2288,             0.00030097,             0.00030097,             0.00030097
                      2,                 1.8379,                 3.4124,                 2.2641,                0.82583,                0.39145,                0.47168,                0.30821,                 1.4283,                 1.7415,                  1.871,             0.00059799,             0.00059799,             0.00059799
                      3,                 1.3968,                 1.9031,                 1.7009,                0.74767,                0.54577,                0.63267,                  0.445,                 1.0751,                 1.1371,                 1.5078,             0.00088901,             0.00088901,             0.00088901
                      4,                 1.2004,                 1.3476,                 1.4829,                0.82082,                0.68599,                0.73741,                0.51913,                   1.01,                0.93933,                 1.3922,               0.000882,               0.000882,               0.000882
                      5,                 1.0876,                 1.0627,                 1.3788,                0.78083,                0.64548,                0.74859,                 0.5605,                0.92295,                0.90254,                 1.2803,               0.000882,               0.000882,               0.000882
                      6,                 1.0046,                0.90911,                  1.285,                0.78761,                0.78224,                0.82738,                0.62742,                0.87078,                0.72039,                 1.2373,               0.000873,               0.000873,               0.000873
                      7,                 0.9631,                0.82161,                 1.2413,                0.92744,                0.74809,                0.84974,                0.63674,                0.87032,                0.65653,                 1.2193,               0.000864,               0.000864,               0.000864
                      8,                 0.9474,                0.76865,                 1.2193,                0.88781,                0.81789,                0.86796,                0.64005,                0.90498,                0.65651,                 1.2689,             0.00085501,             0.00085501,             0.00085501
                      9,                0.91998,                 0.7243,                 1.1822,                0.89394,                0.83643,                0.90757,                0.66543,                0.88574,                 0.6141,                 1.2426,             0.00084601,             0.00084601,             0.00084601
                     10,                0.90005,                0.68834,                 1.1764,                0.93253,                0.82992,                  0.905,                 0.6954,                0.82191,                0.58501,                  1.173,             0.00083701,             0.00083701,             0.00083701
                     11,                0.86527,                0.64638,                 1.1585,                0.93538,                0.84779,                0.92001,                0.69731,                0.80929,                 0.5522,                 1.1827,             0.00082801,             0.00082801,             0.00082801
                     12,                0.85415,                0.62309,                 1.1391,                0.93938,                 0.8788,                0.94324,                0.73268,                 0.7601,                0.54915,                  1.141,             0.00081901,             0.00081901,             0.00081901
                     13,                0.84083,                 0.6151,                 1.1285,                0.92559,                0.87571,                0.93268,                0.72191,                0.78479,                0.50408,                 1.1512,             0.00081001,             0.00081001,             0.00081001
                     14,                0.83666,                0.60048,                 1.1191,                0.92928,                0.89452,                0.94859,                0.73257,                0.76379,                0.49644,                 1.1383,             0.00080101,             0.00080101,             0.00080101
                     15,                0.80976,                 0.5665,                  1.107,                0.93495,                 0.8844,                0.95612,                 0.7402,                0.77064,                0.49841,                 1.1327,             0.00079201,             0.00079201,             0.00079201
                     16,                0.81411,                0.56136,                 1.1194,                0.94819,                0.90255,                0.94836,                0.74281,                0.76971,                0.47598,                 1.1448,             0.00078301,             0.00078301,             0.00078301
                     17,                0.80191,                0.54355,                 1.1041,                0.94946,                0.89855,                0.95541,                0.75275,                0.72772,                 0.4601,                 1.1052,             0.00077401,             0.00077401,             0.00077401
                     18,                    0.8,                0.53852,                 1.1051,                0.94191,                0.89422,                0.94582,                0.75158,                0.73458,                0.45229,                 1.1159,             0.00076501,             0.00076501,             0.00076501
                     19,                 0.7821,                0.52974,                 1.0873,                0.95437,                0.85692,                0.94724,                0.74794,                0.73324,                0.46969,                  1.124,             0.00075602,             0.00075602,             0.00075602
                     20,                0.77447,                0.51824,                 1.0843,                0.94095,                0.89494,                0.95561,                0.76381,                0.71331,                0.43591,                 1.1052,             0.00074702,             0.00074702,             0.00074702
                     21,                0.77876,                0.50625,                 1.0875,                0.94489,                0.89513,                0.96207,                0.75028,                0.73252,                0.43464,                 1.1027,             0.00073802,             0.00073802,             0.00073802
                     22,                0.77028,                0.50121,                 1.0788,                0.92379,                0.93408,                0.96128,                0.75633,                0.72765,                 0.4324,                  1.105,             0.00072902,             0.00072902,             0.00072902
                     23,                0.75457,                0.49022,                 1.0615,                0.96063,                0.92038,                0.96808,                0.74753,                0.73421,                0.41951,                 1.0925,             0.00072002,             0.00072002,             0.00072002
                     24,                0.74627,                0.48518,                  1.059,                0.95433,                0.91078,                0.95432,                0.75026,                0.75251,                0.43756,                 1.1261,             0.00071102,             0.00071102,             0.00071102
                     25,                0.74418,                0.48731,                 1.0647,                 0.9705,                  0.921,                0.96418,                0.76425,                0.71942,                0.40976,                 1.0973,             0.00070202,             0.00070202,             0.00070202
                     26,                0.74085,                0.48285,                 1.0601,                0.95417,                0.90855,                0.95858,                0.75288,                0.71791,                 0.4338,                  1.091,             0.00069302,             0.00069302,             0.00069302
                     27,                0.73423,                0.47191,                 1.0572,                0.94298,                0.91166,                0.95802,                0.76266,                0.71965,                0.40953,                 1.0887,             0.00068402,             0.00068402,             0.00068402
                     28,                0.73928,                0.47229,                 1.0551,                0.93985,                0.92949,                0.97021,                0.77765,                0.69929,                0.42734,                  1.082,             0.00067502,             0.00067502,             0.00067502
                     29,                0.72857,                0.46626,                 1.0519,                0.95896,                0.92507,                0.96377,                 0.7554,                0.71345,                0.41896,                 1.0887,             0.00066602,             0.00066602,             0.00066602
                     30,                0.71334,                0.44983,                 1.0474,                0.96066,                0.94164,                0.97576,                0.78136,                0.68788,                0.39487,                 1.0765,             0.00065703,             0.00065703,             0.00065703
                     31,                0.70933,                0.44618,                 1.0446,                0.95305,                0.90697,                0.97131,                0.77281,                0.69761,                0.41671,                 1.0788,             0.00064803,             0.00064803,             0.00064803
                     32,                0.71316,                0.45037,                 1.0459,                  0.935,                0.91363,                0.96977,                0.76532,                0.69277,                 0.4088,                 1.0713,             0.00063903,             0.00063903,             0.00063903
                     33,                 0.7085,                0.45056,                 1.0449,                0.95213,                 0.9295,                0.96663,                0.77399,                0.69399,                0.42613,                 1.0859,             0.00063003,             0.00063003,             0.00063003
                     34,                0.69756,                0.43477,                 1.0358,                0.96713,                0.92641,                0.97008,                0.77776,                0.69098,                0.38799,                 1.0792,             0.00062103,             0.00062103,             0.00062103
                     35,                0.69772,                0.42552,                 1.0437,                0.96122,                0.92648,                0.96769,                0.76803,                0.71712,                0.39064,                 1.0843,             0.00061203,             0.00061203,             0.00061203
                     36,                 0.6968,                0.42511,                 1.0365,                0.97175,                0.92368,                0.97275,                0.77458,                0.70531,                0.41359,                 1.0836,             0.00060303,             0.00060303,             0.00060303
                     37,                0.68705,                0.42653,                  1.027,                0.95078,                 0.9277,                0.96833,                 0.7715,                0.71491,                0.37947,                 1.0875,             0.00059403,             0.00059403,             0.00059403
                     38,                0.69577,                 0.4175,                 1.0301,                0.95738,                0.92859,                0.96909,                0.78199,                0.69278,                 0.3745,                   1.08,             0.00058503,             0.00058503,             0.00058503
