                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8455,                 6.6696,                 3.5453,                0.48762,                0.19661,                0.23676,                 0.1225,                 1.9648,                 3.1633,                 2.4086,             0.00030148,             0.00030148,             0.00030148
                      2,                 1.6262,                 2.7126,                 1.9551,                0.73976,                0.47239,                0.57352,                0.38891,                 1.2386,                 1.3348,                  1.554,             0.00059849,             0.00059849,             0.00059849
                      3,                 1.2434,                 1.5044,                 1.5079,                0.80224,                0.59882,                0.69181,                 0.4712,                 1.1179,                 1.0744,                 1.4329,             0.00088951,             0.00088951,             0.00088951
                      4,                 1.0937,                 1.0722,                  1.339,                0.83771,                0.74704,                0.80936,                0.59017,                0.95344,                0.81269,                 1.2751,               0.000882,               0.000882,               0.000882
                      5,                 1.0007,                 0.8816,                  1.262,                0.86943,                0.78131,                0.83347,                0.60776,                  0.863,                0.69573,                 1.1965,               0.000882,               0.000882,               0.000882
                      6,                0.95418,                0.78952,                 1.2152,                 0.8616,                0.81641,                0.86336,                0.62957,                0.87824,                0.68229,                 1.1837,               0.000873,               0.000873,               0.000873
                      7,                0.90113,                0.72223,                 1.1789,                0.95887,                0.78954,                0.89543,                0.66564,                0.82271,                0.60585,                 1.1524,               0.000864,               0.000864,               0.000864
                      8,                0.88763,                0.66867,                 1.1551,                0.93929,                0.77344,                0.89592,                0.68091,                0.80369,                0.60296,                 1.1182,             0.00085501,             0.00085501,             0.00085501
                      9,                 0.8477,                0.62437,                 1.1384,                0.91315,                0.88047,                0.93569,                0.71292,                0.80103,                0.55009,                 1.1353,             0.00084601,             0.00084601,             0.00084601
                     10,                0.84652,                0.60997,                 1.1265,                0.94328,                0.88595,                0.94119,                0.72956,                0.74369,                0.48561,                 1.0926,             0.00083701,             0.00083701,             0.00083701
                     11,                0.83524,                0.58162,                 1.1214,                 0.9231,                0.92277,                0.95081,                0.73982,                0.74148,                0.48563,                 1.1025,             0.00082801,             0.00082801,             0.00082801
                     12,                0.81905,                0.55641,                 1.1054,                0.93073,                0.89513,                0.94836,                0.73301,                0.74971,                0.47934,                  1.081,             0.00081901,             0.00081901,             0.00081901
                     13,                0.80345,                0.55664,                 1.0903,                0.93355,                0.92695,                0.96044,                0.74442,                 0.7512,                0.46335,                 1.0842,             0.00081001,             0.00081001,             0.00081001
                     14,                0.79225,                0.52884,                 1.0975,                0.95289,                0.93825,                0.96607,                 0.7355,                0.77685,                0.46033,                 1.1076,             0.00080101,             0.00080101,             0.00080101
                     15,                0.79641,                 0.5283,                  1.086,                0.93562,                0.93924,                0.96218,                0.74222,                0.73892,                0.46108,                 1.0801,             0.00079201,             0.00079201,             0.00079201
                     16,                0.76959,                0.50193,                 1.0712,                0.89907,                0.91832,                0.95827,                0.75381,                0.72225,                 0.4565,                 1.0825,             0.00078301,             0.00078301,             0.00078301
                     17,                0.76117,                0.49404,                 1.0649,                0.96951,                0.91754,                0.97305,                0.77144,                 0.7081,                0.42762,                 1.0611,             0.00077401,             0.00077401,             0.00077401
                     18,                 0.7617,                0.48371,                 1.0644,                0.92453,                0.93079,                0.95841,                0.76485,                0.70656,                0.42335,                 1.0631,             0.00076501,             0.00076501,             0.00076501
                     19,                0.74623,                0.48182,                 1.0613,                0.94747,                0.93679,                0.96661,                0.75274,                0.70894,                0.44734,                  1.067,             0.00075602,             0.00075602,             0.00075602
                     20,                0.75658,                0.47692,                 1.0631,                 0.9598,                0.94014,                0.96927,                0.76503,                0.69503,                0.40246,                 1.0631,             0.00074702,             0.00074702,             0.00074702
                     21,                  0.738,                0.46772,                 1.0506,                0.94219,                0.92886,                0.95577,                0.76653,                0.68517,                0.41579,                 1.0498,             0.00073802,             0.00073802,             0.00073802
                     22,                0.72527,                0.45448,                 1.0414,                0.95796,                0.93526,                0.97685,                0.77715,                0.68431,                0.39515,                 1.0501,             0.00072902,             0.00072902,             0.00072902
                     23,                0.72903,                0.45044,                 1.0459,                0.95034,                0.94514,                0.97305,                0.78643,                0.67512,                 0.3972,                 1.0477,             0.00072002,             0.00072002,             0.00072002
                     24,                0.72496,                0.45056,                  1.046,                0.97053,                0.95054,                0.98234,                0.78719,                0.69636,                0.39388,                 1.0474,             0.00071102,             0.00071102,             0.00071102
                     25,                0.71149,                0.43873,                 1.0315,                0.95663,                0.94945,                0.98144,                0.78072,                0.67321,                0.39487,                 1.0453,             0.00070202,             0.00070202,             0.00070202
                     26,                0.71982,                0.44087,                 1.0496,                0.96888,                0.95304,                0.98044,                0.78183,                0.67952,                0.38925,                 1.0461,             0.00069302,             0.00069302,             0.00069302
                     27,                0.71303,                0.44491,                  1.043,                0.95011,                0.97349,                0.98025,                0.78761,                0.66358,                0.37632,                 1.0406,             0.00068402,             0.00068402,             0.00068402
                     28,                0.70164,                0.42948,                  1.029,                0.96288,                0.93764,                0.97718,                0.78355,                0.67358,                0.38285,                 1.0368,             0.00067502,             0.00067502,             0.00067502
                     29,                0.70383,                 0.4244,                  1.028,                0.97348,                0.93756,                0.97483,                 0.7836,                0.67503,                0.38492,                 1.0329,             0.00066602,             0.00066602,             0.00066602
