                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77202,                0.95481,                 1.0968,                0.56337,                0.63557,                0.57039,                 0.4876,                0.49772,                 76.374,                0.79075,             0.00013466,             0.00013466,             0.00013466
                     36,                0.77762,                 0.9513,                 1.1062,                0.65476,                0.60794,                0.57216,                0.49243,                0.48535,                 87.252,                0.78027,             0.00013268,             0.00013268,             0.00013268
                     37,                0.77453,                0.94826,                 1.0966,                 0.5884,                0.66201,                0.56426,                0.48828,                0.48744,                  78.57,                0.77184,              0.0001307,              0.0001307,              0.0001307
                     38,                0.76068,                0.93158,                 1.0873,                0.54903,                0.62722,                0.56417,                0.48249,                0.49275,                 69.805,                0.77098,             0.00012872,             0.00012872,             0.00012872
                     39,                0.76286,                0.93273,                 1.0812,                0.70539,                0.56349,                0.55384,                0.47548,                0.48321,                 75.605,                0.77276,             0.00012674,             0.00012674,             0.00012674
                     40,                0.75432,                 0.9079,                 1.0884,                0.54068,                 0.6836,                0.56767,                0.48566,                0.49251,                 83.945,                0.78315,             0.00012476,             0.00012476,             0.00012476
                     41,                0.75501,                0.87849,                 1.0774,                0.61261,                0.64456,                0.56884,                0.49159,                0.47673,                 76.658,                0.76724,             0.00012278,             0.00012278,             0.00012278
                     42,                0.75765,                0.89065,                 1.0869,                0.66718,                  0.631,                0.56863,                0.48424,                 0.4841,                 79.514,                0.77355,              0.0001208,              0.0001208,              0.0001208
                     43,                0.74083,                0.85696,                  1.074,                0.57574,                0.69756,                0.57273,                0.49015,                0.48574,                 81.506,                0.77093,             0.00011882,             0.00011882,             0.00011882
                     44,                0.75413,                0.86499,                 1.0889,                0.58179,                0.68391,                0.58582,                0.50417,                0.48224,                 80.452,                0.76923,             0.00011684,             0.00011684,             0.00011684
                     45,                0.74551,                0.84947,                  1.071,                0.58756,                0.63976,                0.58111,                0.49782,                0.48276,                  78.92,                0.77019,             0.00011486,             0.00011486,             0.00011486
                     46,                0.74217,                0.84827,                 1.0778,                0.59263,                0.66454,                 0.5741,                0.49437,                 0.4663,                 86.349,                0.75772,             0.00011288,             0.00011288,             0.00011288
                     47,                0.73888,                0.81862,                 1.0768,                0.55853,                0.68719,                0.58117,                0.50097,                0.47611,                 96.754,                0.76719,              0.0001109,              0.0001109,              0.0001109
                     48,                0.72322,                0.80974,                 1.0638,                0.63549,                0.62993,                0.59807,                0.51908,                0.46792,                 79.228,                0.76558,             0.00010892,             0.00010892,             0.00010892
                     49,                0.72659,                0.78602,                  1.069,                0.61789,                0.64624,                0.56318,                0.48458,                 0.4792,                 89.713,                0.77209,             0.00010694,             0.00010694,             0.00010694
                     50,                0.72557,                0.79273,                 1.0583,                0.61165,                 0.6443,                0.59041,                0.50951,                0.46762,                 74.776,                0.75973,             0.00010496,             0.00010496,             0.00010496
                     51,                0.72448,                0.77874,                 1.0633,                 0.6182,                0.65461,                0.59402,                0.50947,                0.47491,                 86.574,                0.76713,             0.00010298,             0.00010298,             0.00010298
                     52,                0.72272,                0.75836,                 1.0651,                0.62488,                0.67278,                0.60003,                0.51814,                0.47464,                 92.702,                0.76343,               0.000101,               0.000101,               0.000101
                     53,                  0.707,                0.75106,                 1.0527,                0.69868,                0.60628,                0.56618,                0.48445,                0.46831,                 80.018,                0.75816,              9.902e-05,              9.902e-05,              9.902e-05
                     54,                0.72652,                0.76184,                 1.0611,                0.70422,                0.61232,                0.58191,                0.49972,                0.45765,                 83.662,                0.75509,              9.704e-05,              9.704e-05,              9.704e-05
                     55,                0.70422,                0.74272,                 1.0492,                0.66294,                0.65161,                0.59044,                0.50623,                0.45545,                 87.873,                0.75314,              9.506e-05,              9.506e-05,              9.506e-05
                     56,                0.71022,                0.75635,                  1.057,                0.62506,                0.65145,                0.56488,                0.48275,                0.47257,                 95.248,                0.76154,              9.308e-05,              9.308e-05,              9.308e-05
                     57,                0.70651,                0.73924,                 1.0534,                0.58104,                0.71066,                0.58852,                0.50168,                0.46453,                 86.468,                0.76216,               9.11e-05,               9.11e-05,               9.11e-05
                     58,                 0.7066,                 0.7279,                 1.0575,                0.63379,                0.65511,                0.57436,                0.49147,                 0.4682,                   92.9,                0.75457,              8.912e-05,              8.912e-05,              8.912e-05
                     59,                0.69105,                0.70796,                 1.0412,                0.67125,                0.64505,                0.58896,                0.50625,                0.47202,                 87.729,                0.76316,              8.714e-05,              8.714e-05,              8.714e-05
                     60,                0.68909,                0.71599,                 1.0424,                 0.6475,                0.64474,                0.57309,                0.49321,                0.45282,                 97.297,                0.75186,              8.516e-05,              8.516e-05,              8.516e-05
