                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68182,                0.41508,                0.99601,                0.94533,                0.95576,                0.97464,                0.77696,                0.66166,                0.37413,                 1.0083,             0.00060303,             0.00060303,             0.00060303
                     37,                0.68509,                0.41169,                 0.9939,                 0.9875,                0.91198,                0.97618,                0.79881,                0.64789,                0.36527,                0.99929,             0.00059403,             0.00059403,             0.00059403
                     38,                0.67308,                0.40943,                0.98802,                0.96739,                 0.9387,                0.97173,                0.77987,                0.66613,                0.36964,                 1.0106,             0.00058503,             0.00058503,             0.00058503
                     39,                 0.6725,                 0.4037,                0.98932,                0.96831,                0.93773,                0.97269,                0.78515,                0.64923,                0.37125,                 1.0028,             0.00057603,             0.00057603,             0.00057603
                     40,                0.66377,                0.39089,                0.99189,                0.97494,                0.92237,                0.97074,                0.77548,                0.68347,                0.38314,                 1.0193,             0.00056703,             0.00056703,             0.00056703
                     41,                0.66495,                0.39049,                 0.9796,                0.94903,                0.95842,                0.98066,                0.79474,                0.64726,                0.36325,                 1.0077,             0.00055804,             0.00055804,             0.00055804
                     42,                0.66708,                0.40082,                0.98812,                0.97856,                0.93175,                0.98148,                0.79018,                0.64881,                0.35984,                 1.0039,             0.00054904,             0.00054904,             0.00054904
                     43,                 0.6647,                0.39197,                0.98785,                0.96573,                0.95158,                0.97887,                0.78591,                 0.6643,                0.37321,                 1.0109,             0.00054004,             0.00054004,             0.00054004
                     44,                0.65746,                0.38698,                0.98267,                0.97084,                0.92294,                0.97661,                0.79587,                0.63614,                0.36118,                0.99947,             0.00053104,             0.00053104,             0.00053104
                     45,                0.65766,                  0.386,                0.98565,                0.96468,                0.92652,                0.97556,                0.80159,                0.63498,                0.35477,                 1.0033,             0.00052204,             0.00052204,             0.00052204
                     46,                0.65427,                0.38169,                0.98078,                0.97149,                 0.9427,                0.97634,                 0.7871,                0.66177,                0.35817,                 1.0041,             0.00051304,             0.00051304,             0.00051304
                     47,                0.65061,                0.38807,                0.98065,                0.97142,                0.92568,                0.98199,                0.80385,                0.64265,                0.34935,                 1.0004,             0.00050404,             0.00050404,             0.00050404
                     48,                 0.6518,                0.37729,                0.98499,                0.97226,                0.95082,                0.97999,                0.80087,                0.63595,                0.35123,                 1.0011,             0.00049504,             0.00049504,             0.00049504
                     49,                0.64452,                0.37038,                0.97635,                0.97511,                0.94379,                0.97929,                0.81073,                0.63182,                0.33743,                0.99659,             0.00048604,             0.00048604,             0.00048604
                     50,                0.63836,                0.36723,                 0.9754,                0.94601,                0.95963,                0.97757,                0.80365,                0.62682,                0.34576,                0.99838,             0.00047704,             0.00047704,             0.00047704
                     51,                0.64348,                0.37276,                0.97407,                 0.9306,                0.95734,                0.97808,                0.80111,                0.63761,                0.34539,                0.99464,             0.00046804,             0.00046804,             0.00046804
                     52,                0.64016,                0.37049,                0.97322,                0.97528,                 0.9413,                0.98191,                0.80583,                0.64477,                0.34167,                0.99768,             0.00045904,             0.00045904,             0.00045904
                     53,                0.62382,                0.36057,                0.96727,                0.96141,                 0.9556,                 0.9803,                0.80924,                0.62748,                0.34216,                0.99349,             0.00045005,             0.00045005,             0.00045005
                     54,                0.63638,                0.36575,                0.96688,                0.96131,                0.94409,                0.97783,                 0.8057,                0.63797,                0.33522,                 0.9999,             0.00044105,             0.00044105,             0.00044105
                     55,                0.63408,                0.36262,                0.97164,                0.97582,                0.93232,                0.97805,                0.80614,                0.63888,                0.34137,                0.99822,             0.00043205,             0.00043205,             0.00043205
                     56,                0.62877,                0.36134,                0.97084,                0.96794,                0.94559,                0.98336,                0.81054,                0.63231,                 0.3418,                0.99663,             0.00042305,             0.00042305,             0.00042305
                     57,                0.63156,                0.35668,                0.97465,                0.96093,                0.94408,                0.98375,                0.80885,                0.63161,                0.33409,                 0.9927,             0.00041405,             0.00041405,             0.00041405
                     58,                0.62023,                0.36202,                 0.9664,                0.94418,                0.96134,                0.98366,                0.81491,                0.62744,                0.33655,                0.99188,             0.00040505,             0.00040505,             0.00040505
                     59,                0.61762,                0.34659,                0.96232,                0.95356,                0.96227,                 0.9852,                0.81235,                0.63471,                0.33389,                0.99452,             0.00039605,             0.00039605,             0.00039605
                     60,                 0.6139,                0.34946,                0.96126,                0.96529,                0.95377,                0.98173,                0.80761,                0.63146,                 0.3328,                0.99281,             0.00038705,             0.00038705,             0.00038705
                     61,                0.61217,                0.35105,                0.95958,                0.96872,                0.95668,                0.98325,                0.80596,                0.64197,                0.34042,                0.99504,             0.00037805,             0.00037805,             0.00037805
                     62,                0.61361,                  0.353,                0.96346,                0.97871,                0.94477,                 0.9865,                0.81679,                0.63553,                0.32899,                0.99554,             0.00036905,             0.00036905,             0.00036905
                     63,                0.61088,                0.34918,                0.95663,                0.95744,                0.95686,                0.98087,                0.80302,                0.62872,                0.33193,                0.98891,             0.00036005,             0.00036005,             0.00036005
                     64,                0.60811,                0.34994,                0.95687,                0.95252,                0.94957,                0.97801,                 0.8083,                0.62218,                 0.3299,                0.99033,             0.00035106,             0.00035106,             0.00035106
                     65,                0.60699,                0.33544,                0.95832,                0.96288,                0.95839,                0.98387,                0.81806,                0.62725,                0.32918,                0.99112,             0.00034206,             0.00034206,             0.00034206
                     66,                0.60956,                0.34528,                 0.9652,                0.95326,                0.96674,                0.98722,                0.81238,                0.63467,                0.32656,                0.99273,             0.00033306,             0.00033306,             0.00033306
                     67,                0.60434,                0.33937,                0.95575,                0.96667,                 0.9483,                0.98583,                0.81818,                0.62139,                0.31934,                0.98712,             0.00032406,             0.00032406,             0.00032406
                     68,                0.59655,                0.33987,                0.95044,                0.96011,                0.96604,                0.98186,                0.80748,                0.62811,                0.32528,                0.99234,             0.00031506,             0.00031506,             0.00031506
                     69,                0.60399,                0.34231,                0.95273,                0.96521,                 0.9477,                0.98436,                0.81267,                0.62704,                 0.3223,                0.98988,             0.00030606,             0.00030606,             0.00030606
                     70,                0.59618,                0.33317,                0.95352,                0.96143,                0.95043,                0.98177,                0.80853,                 0.6288,                0.32516,                0.99203,             0.00029706,             0.00029706,             0.00029706
                     71,                0.59329,                0.33215,                0.94779,                0.97626,                0.96604,                0.98809,                0.81653,                0.62171,                0.31694,                0.98698,             0.00028806,             0.00028806,             0.00028806
                     72,                 0.5911,                0.33068,                0.95006,                0.98066,                0.94625,                0.98668,                0.81412,                0.62521,                0.31716,                0.98664,             0.00027906,             0.00027906,             0.00027906
                     73,                  0.592,                0.33003,                0.95321,                0.98501,                0.94175,                0.98666,                0.81332,                0.62131,                0.31217,                0.98501,             0.00027006,             0.00027006,             0.00027006
                     74,                 0.5918,                 0.3278,                0.94365,                0.97294,                  0.952,                0.98614,                0.81193,                0.61926,                0.31676,                0.98256,             0.00026106,             0.00026106,             0.00026106
                     75,                0.58391,                0.32774,                0.94251,                0.96621,                0.94967,                0.98547,                0.81445,                0.62547,                0.31707,                0.98932,             0.00025207,             0.00025207,             0.00025207
                     76,                 0.5793,                0.32607,                0.94354,                0.98395,                0.94749,                0.98384,                0.81512,                0.61931,                0.31724,                0.98877,             0.00024307,             0.00024307,             0.00024307
                     77,                0.57474,                0.32029,                0.94774,                0.97204,                0.95668,                0.98525,                0.82056,                0.62072,                0.31681,                0.98607,             0.00023407,             0.00023407,             0.00023407
                     78,                0.57182,                0.31682,                0.94155,                 0.9727,                 0.9626,                0.98677,                 0.8246,                0.61175,                0.31056,                0.98179,             0.00022507,             0.00022507,             0.00022507
                     79,                0.57295,                0.31635,                0.93685,                0.97909,                 0.9515,                0.98744,                0.81813,                0.62297,                0.31216,                0.99202,             0.00021607,             0.00021607,             0.00021607
                     80,                0.56978,                 0.3151,                0.94051,                0.97628,                 0.9549,                0.98702,                0.81711,                 0.6192,                 0.3072,                0.99068,             0.00020707,             0.00020707,             0.00020707
                     81,                 0.5713,                0.31191,                0.94094,                0.97081,                0.96265,                0.98749,                0.82206,                0.62115,                0.30697,                0.99078,             0.00019807,             0.00019807,             0.00019807
                     82,                0.56295,                0.30957,                0.94224,                  0.977,                0.94002,                0.98397,                0.82053,                0.61726,                0.30913,                0.98863,             0.00018907,             0.00018907,             0.00018907
                     83,                0.56025,                0.31192,                 0.9334,                 0.9743,                0.95868,                0.98485,                0.82576,                0.61574,                 0.3061,                0.98659,             0.00018007,             0.00018007,             0.00018007
                     84,                0.56554,                0.30689,                0.94066,                0.98741,                 0.9458,                0.98629,                0.81598,                0.62466,                0.31352,                  0.985,             0.00017107,             0.00017107,             0.00017107
                     85,                0.55746,                0.31137,                0.94025,                 0.9845,                0.95172,                0.98592,                0.81899,                0.61701,                0.30376,                0.98847,             0.00016207,             0.00016207,             0.00016207
                     86,                0.56287,                0.30979,                0.93551,                0.97404,                0.96291,                0.98703,                0.82351,                 0.6205,                0.30893,                0.98732,             0.00015308,             0.00015308,             0.00015308
                     87,                0.55529,                0.30516,                0.93135,                0.97344,                0.96129,                0.98384,                0.81668,                0.61298,                0.30182,                0.98404,             0.00014408,             0.00014408,             0.00014408
                     88,                0.55829,                0.30357,                0.93435,                 0.9685,                0.95816,                0.98408,                0.81967,                0.61967,                0.30764,                0.98531,             0.00013508,             0.00013508,             0.00013508
                     89,                0.54888,                0.29812,                0.92784,                0.97491,                0.95796,                0.98518,                0.82716,                0.61368,                0.30254,                0.98358,             0.00012608,             0.00012608,             0.00012608
                     90,                0.54255,                 0.3006,                0.92366,                0.97044,                0.96307,                0.98663,                0.82277,                0.61373,                0.29886,                0.98027,             0.00011708,             0.00011708,             0.00011708
                     91,                0.53025,                0.27955,                0.91902,                0.97684,                0.95031,                0.98195,                0.82084,                0.60905,                0.30622,                0.98405,             0.00010808,             0.00010808,             0.00010808
                     92,                0.52886,                0.28362,                0.91708,                0.97582,                0.95055,                0.98347,                0.82216,                 0.6069,                0.30264,                0.98067,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.52274,                0.27933,                0.91423,                 0.9665,                0.96368,                0.98259,                0.82104,                0.60919,                0.30289,                0.98341,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                 0.5201,                0.27506,                0.91625,                 0.9661,                0.96279,                 0.9837,                0.82166,                0.61085,                0.30391,                0.98546,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                 0.5174,                 0.2751,                 0.9135,                0.96636,                0.96484,                0.98427,                  0.828,                  0.607,                0.30581,                0.98581,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.51387,                0.26868,                0.91387,                0.97936,                0.95775,                0.98464,                0.82356,                0.61031,                0.30231,                0.98726,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.50865,                0.26601,                0.91068,                0.97001,                0.96184,                 0.9844,                0.82421,                0.60766,                0.30317,                0.98878,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                 0.5052,                0.26447,                0.90988,                0.97248,                0.95914,                0.98414,                0.81856,                0.60871,                0.30289,                0.98658,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                 0.5008,                0.26402,                 0.9079,                0.97061,                0.96261,                0.98322,                0.82509,                0.60484,                0.29978,                0.98556,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.50143,                0.26445,                0.90544,                0.97046,                0.96216,                0.98297,                0.82296,                0.60653,                0.30102,                0.98487,             2.7088e-05,             2.7088e-05,             2.7088e-05
